ID,Beacon_Score,Mortgage_Balance,Services,Avg_Monthly_Transactions,Has_Payroll,Has_Investment,Has_Visa,VISA_balance,Has_Deposit,Not_Mortgage_Balance,Income,Age,Gender,Sector,Tenure_In_Months,City,TermInMonths,TermToMaturity,NumberOfParties,InterestRate,Type,not mortgage lending,deposit
4338,814,136663.31,6,300,1,0,1,0,1,18663.6,NA,78,F,Regular,414,WHITE ROCK                                                                                          ,60,9,2,0.0269,FixedTFixedR,7327.090767,11336.50923
1388,731,820868.89,4,300,1,0,0,0,1,91232.15,NA,61,F,Regular,385,NORTH VANCOUVER                                                                                     ,60,15,2,0.037,FixedTVariableR,219.2754782,91012.87452
141,805,255771.87,10,300,1,1,1,0,1,519072.14,NA,57,F,Regular,101,PORT COQUITLAM                                                                                      ,60,10,2,0.0269,FixedTFixedR,399173.5556,119898.5844
6854,782,434660.72,8,300,1,1,0,0,1,312789.9,NA,56,M,Regular,284,VANCOUVER                                                                                           ,60,25,1,0.0289,FixedTFixedR,106300.1257,206489.7743
5998,759,275806.17,7,300,1,0,1,0,1,164574.25,NA,54,F,Regular,293,MAPLE RIDGE                                                                                         ,60,8,2,0.0279,FixedTFixedR,23036.264,141537.986
4506,639,263184.77,5,300,1,0,1,0,1,62320.75,NA,53,F,Regular,336,MAPLE RIDGE                                                                                         ,60,24,2,0.0269,FixedTFixedR,21338.68937,40982.06063
6921,787,147782.67,5,300,1,0,0,0,1,2670.11,NA,52,F,Regular,197,BURNABY                                                                                             ,60,18,2,0.0269,FixedTFixedR,935.5039962,1734.606004
1867,761,645114.55,6,300,1,0,1,0,1,145334.01,NA,51,F,Regular,268,BURNABY                                                                                             ,60,6,2,0.0269,FixedTFixedR,38204.40539,107129.6046
9346,680,283349.3,5,300,1,0,1,1510.022889,1,18656.37,NA,47,M,Regular,204,SURREY                                                                                              ,60,10,2,0.0269,FixedTFixedR,368.6851111,18287.68489
9631,822,338374.84,4,300,1,0,1,216.8711027,1,4864.7,NA,30,F,Regular,109,MISSION                                                                                             ,60,18,2,0.0284,FixedTFixedR,4269.003351,595.6966485
3254,767,927635.58,4,296,1,0,0,0,1,62769.63,NA,38,M,Regular,192,VANCOUVER                                                                                           ,60,11,1,0.021,FixedTVariableR,37497.40852,25272.22148
8147,719,487053.81,3,293,0,0,1,2496.941261,1,8165.9,NA,61,F,Regular,463,SURREY                                                                                              ,60,9,2,0.0269,FixedTFixedR,5579.543832,2586.356168
4170,735,900041.74,9,2992,1,1,1,338.2653492,1,506266.64,NA,49,F,Staff,284,BURNABY                                                                                             ,60,6,2,0.0335,FixedTVariableR,201209.2045,305057.4355
8967,824,80567.25,6,289,1,1,1,2409.128757,1,115453.83,NA,55,F,Staff,354,DELTA                                                                                               ,60,14,2,0.0237,OpenTFixedR,89887.92801,25565.90199
2654,759,212774.15,4,285,1,0,0,0,1,52761.3,NA,57,M,Regular,219,MISSION                                                                                             ,60,3,2,0.0289,FixedTFixedR,220.5061327,52540.79387
6888,727,803375.59,7,285,1,1,1,0,1,105762.79,NA,45,F,Staff,194,GARIBALDI HIGHLANDS                                                                                 ,60,25,2,0.0289,FixedTFixedR,104797.6793,965.1107126
