ID,Beacon_Score,Mortgage_Balance,Avg_Monthly_Transactions,Has_Payroll,Has_Investment,Has_Visa,VISA_balance,Has_Deposit,Not_Mortgage_Balance,Services,Tenure_In_Months,TermInMonths,TermToMaturity,InterestRate,Closing_status,Cluster,PCA1,PCA2,Cluster_Label
10678,460,930513.0,1,0,0,0,0.0,1,12911.0,2,35.0,48,23.5,0.0314,0,6,-2.701768482287922,-0.1628428063930468,"Low Activity, Low Credit Score"
10483,825,900825.0,111,1,0,1,2148.674206,1,212295.0,8,60.0,48,10.5,0.0309,0,4,3.3139177276874854,-1.9044245056627849,"High Activity, Very High Mortgage"
10007,801,243846.84,2,0,0,0,0.0,1,259.4366667,2,48.16666667,60,24.0,0.0385,1,0,-1.9167232054235332,0.5288948138730674,"Low Activity, High Credit Score"
10531,815,360233.0,49,1,0,0,0.0,1,7616.0,4,407.0,60,5.0,0.0385,0,5,1.5521451136908735,2.126612900602057,"High Activity, Low Mortgage"
9997,815,360226.24,49,1,0,0,0.0,1,7613.42,4,407.0,60,5.0,0.0385,1,5,1.5521399410473786,2.1266230424448924,"High Activity, Low Mortgage"
10603,805,210608.0,3,0,0,1,0.0,1,20002.0,2,60.0,60,25.0,0.0269,0,0,-1.7921871922535473,-1.337735895064036,"Low Activity, High Credit Score"
10278,769,1201997.0,135,1,1,1,0.0,1,10133.0,5,100.0,60,5.0,0.0345,0,2,2.5853780661882624,0.13828001765833173,"High Activity, High Mortgage"
10116,805,210610.0,3,0,0,1,0.0,1,20003.0,2,60.0,60,25.0,0.0269,0,0,-1.7921852632526172,-1.3377393645452154,"Low Activity, High Credit Score"
10175,761,118424.0,2,0,0,0,0.0,1,327.0,1,38.0,48,10.0,0.0385,0,0,-1.817639868962833,1.7230542016562347,"Low Activity, High Credit Score"
10403,805,210612.0,3,0,0,1,0.0,1,20004.0,2,60.0,60,25.0,0.0269,0,0,-1.7921833342516877,-1.337742834026396,"Low Activity, High Credit Score"
10029,761,118413.5,2,0,0,0,0.0,1,324.0366667,1,37.66666667,48,10.0,0.0385,1,0,-1.8185026062555332,1.7224617173780157,"Low Activity, High Credit Score"
10004,701,810977.39,2,0,0,0,0.0,1,35.97,1,60.0,12,4.0,0.0279,1,3,-2.1372248230168944,1.8369751142692965,"Moderate Activity, Moderate Mortgage"
10299,555,310766.0,1,0,0,0,0.0,1,287.0,2,35.0,60,25.0,0.0269,0,6,-2.7128041141205994,-0.42570927336371656,"Low Activity, Low Credit Score"
10661,765,401958.0,1,0,0,0,0.0,1,200.0,1,40.0,60,16.0,0.0385,0,0,-1.9038597824436247,0.8612419909170623,"Low Activity, High Credit Score"
10722,815,360244.0,49,1,0,0,0.0,1,7619.0,4,407.0,60,5.0,0.0385,0,5,1.552151512634588,2.126598771591666,"High Activity, Low Mortgage"
10353,764,648451.0,6,1,0,1,0.0,1,409073.0,5,122.0,60,15.0,0.0279,0,1,0.9707367328823897,-1.6819683201324824,"Moderate Activity, High Mortgage"
10726,715,1247538.0,44,1,0,1,1778.468099,1,15413.0,7,272.0,60,16.0,0.0385,0,4,2.4532038584321265,-1.213701994962136,"High Activity, Very High Mortgage"
10312,805,210622.0,3,0,0,1,0.0,1,20007.0,2,60.0,60,25.0,0.0269,0,0,-1.7921770576961578,-1.337756218923416,"Low Activity, High Credit Score"
10745,742,202786.0,88,1,0,1,0.0,1,117867.0,7,297.0,60,7.0,0.0279,0,5,2.372944613234297,-0.21432130599357885,"High Activity, Low Mortgage"
10109,760,575951.0,5,0,0,1,0.0,1,55563.0,2,55.0,60,25.0,0.0259,0,0,-1.7831956138743768,-1.7619776713655673,"Low Activity, High Credit Score"
10326,715,1247546.0,44,1,0,1,1778.468099,1,15415.0,7,272.0,60,16.0,0.0385,0,4,2.453208205986726,-1.2137119103779765,"High Activity, Very High Mortgage"
10545,742,202791.0,88,1,0,1,0.0,1,117868.0,7,297.0,60,7.0,0.0279,0,5,2.372946909399782,-0.21432700781486974,"High Activity, Low Mortgage"
10458,701,811011.0,2,0,0,0,0.0,1,46.0,1,60.0,12,4.0,0.0279,0,3,-2.1372038167776624,1.8369302326368957,"Moderate Activity, Moderate Mortgage"
10422,815,360260.0,49,1,0,0,0.0,1,7624.0,4,407.0,60,5.0,0.0385,0,5,1.5521618919683458,2.126576959505545,"High Activity, Low Mortgage"
10257,742,202798.0,88,1,0,1,0.0,1,117871.0,7,297.0,60,7.0,0.0279,0,5,2.372952818790757,-0.214338160371779,"High Activity, Low Mortgage"
10196,354,301257.0,1,0,0,0,0.0,1,51812.0,3,60.0,24,12.0,0.0304,0,6,-2.4159729359683797,1.4363967109297289,"Low Activity, Low Credit Score"
10060,815,360226.24,49,1,0,0,0.0,1,7613.42,4,407.0,60,5.0,0.0385,1,5,1.5521399410473786,2.1266230424448924,"High Activity, Low Mortgage"
10031,568,610258.05,97,0,1,1,508.0,1,4325.65,6,78.0,60,16.0,0.0279,1,2,0.6651621371990339,-0.9250762171444797,"High Activity, High Mortgage"
10006,765,401940.02,1,0,0,0,0.0,1,194.8366667,1,40.0,60,16.0,0.0385,1,0,-1.903870679195946,0.8612655999524816,"Low Activity, High Credit Score"
10023,764,648431.64,6,1,0,1,0.0,1,409067.67,5,122.0,60,15.0,0.0279,1,1,0.970725386530225,-1.6819433540114723,"Moderate Activity, High Mortgage"
10395,460,930554.0,1,0,0,0,0.0,1,12924.0,2,35.0,48,23.5,0.0314,0,6,-2.701741569453061,-0.16289907134894105,"Low Activity, Low Credit Score"
10444,764,648475.0,6,1,0,1,0.0,1,409081.0,5,122.0,60,15.0,0.0279,0,1,0.9707531439953082,-1.6820020288888817,"Moderate Activity, High Mortgage"
10609,805,210644.0,3,0,0,1,0.0,1,20013.0,2,60.0,60,25.0,0.0269,0,0,-1.7921642598087306,-1.3377844769441973,"Low Activity, High Credit Score"
10387,460,930556.0,1,0,0,0,0.0,1,12924.0,2,35.0,48,23.5,0.0314,0,6,-2.7017413246766915,-0.1629005595756819,"Low Activity, Low Credit Score"
10091,801,243846.84,2,0,0,0,0.0,1,259.4366667,2,48.16666667,60,24.0,0.0385,1,0,-1.9167232054235332,0.528894813873068,"Low Activity, High Credit Score"
10243,809,51558.0,46,1,1,0,0.0,1,207655.0,6,416.0,60,17.0,0.0279,0,5,1.97239947983279,1.093104720865543,"High Activity, Low Mortgage"
10286,825,900869.0,111,1,0,1,2148.674206,1,212309.0,8,60.0,48,10.5,0.0309,0,4,3.313946691911461,-1.9044849842132208,"High Activity, Very High Mortgage"
10295,555,310799.0,1,0,0,0,0.0,1,297.0,2,35.0,60,25.0,0.0269,0,6,-2.7127832330648975,-0.42575364164932783,"Low Activity, Low Credit Score"
10691,761,575974.0,5,0,0,1,0.0,1,55570.0,2,55.0,60,25.0,0.0259,0,0,-1.7814896581912787,-1.7620231428471025,"Low Activity, High Credit Score"
10669,770,1202040.0,135,1,1,1,0.0,1,10146.0,5,100.0,60,5.0,0.0345,0,2,2.5870965749824184,0.1382077763827561,"High Activity, High Mortgage"
10432,716,1247569.0,44,1,0,1,1778.468099,1,15423.0,7,272.0,60,16.0,0.0385,0,4,2.4549158458943836,-1.2137593631139505,"High Activity, Very High Mortgage"
